model,step,domain,key,partition,eval_key,measure,value
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,dim_n_for_90pct,1551.0
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,dim_participation_ratio_frac,0.005039565598528684
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,n_live_units,36864.0
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,coupling_mean_absr,0.05706007767621129
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,coupling_median_absr,0.04673433303833008
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,coupling_p90_absr,0.11877199709415434
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,coupling_p99_absr,0.2025446909666061
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,coupling_frac_absr_gt_0.1,0.16068660281291708
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,coupling_frac_absr_gt_0.3,0.0008932244743505972
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,coupling_concentration_top1pct,0.03686716017826701
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,hub_strength_gini,0.10380846360765683
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,hub_strength_cv,0.18828215775888535
EleutherAI/pythia-160m,0,agnews,halfA,real,halfA,segregation_within_mean,0.10584004312243553
EleutherAI/pythia-160m,0,agnews,halfA,real,halfA,segregation_between_mean,0.056415321953444626
EleutherAI/pythia-160m,0,agnews,halfA,real,halfA,segregation_ratio,1.8760868405533067
EleutherAI/pythia-160m,0,agnews,halfA,real,halfA,segregation_modularity,0.012292114697426774
EleutherAI/pythia-160m,0,agnews,halfA,real,halfB,segregation_within_mean,0.10579951171091516
EleutherAI/pythia-160m,0,agnews,halfA,real,halfB,segregation_between_mean,0.056390538828954714
EleutherAI/pythia-160m,0,agnews,halfA,real,halfB,segregation_ratio,1.8761926008869867
EleutherAI/pythia-160m,0,agnews,halfA,real,halfB,segregation_modularity,0.012299803597644177
EleutherAI/pythia-160m,0,agnews,halfA,null,halfA,segregation_within_mean,0.058316046070255805
EleutherAI/pythia-160m,0,agnews,halfA,null,halfA,segregation_between_mean,0.05707204602936524
EleutherAI/pythia-160m,0,agnews,halfA,null,halfA,segregation_ratio,1.0217970114519899
EleutherAI/pythia-160m,0,agnews,halfA,null,halfA,segregation_modularity,0.00026308346112023764
EleutherAI/pythia-160m,0,agnews,halfA,null,halfB,segregation_within_mean,0.05829511931025183
