tree,variant,domain,direction,metric,value
pnull,vmf_pca100_lloyd100,tldr17,halfA->halfB,reliability_ari,0.012073462217071649
pnull,vmf_pca100_lloyd100,tldr17,halfA->halfB,inertia_ratio,1.0081875059455847
pnull,vmf_pca100_lloyd100,tldr17,halfA->halfB,n_iter,47.0
pnull,vmf_pca100_lloyd100,tldr17,halfA->halfB,n_clusters,100.0
pnull,vmf_pca100_lloyd100,tldr17,halfB->halfA,yardstick_ari,0.01312910546880856
pnull,vmf_pca100_lloyd100,tldr17,halfB->halfA,reliability_ari,0.012512972187896265
pnull,vmf_pca100_lloyd100,tldr17,halfB->halfA,inertia_ratio,1.0047925734912422
pnull,vmf_pca100_lloyd100,tldr17,halfB->halfA,n_iter,52.0
pnull,vmf_pca100_lloyd100,tldr17,halfB->halfA,n_clusters,100.0
real,vmf_ward100,tldr17,halfA->halfB,yardstick_ari,0.292823390664194
real,vmf_ward100,tldr17,halfA->halfB,reliability_ari,0.207846140491942
real,vmf_ward100,tldr17,halfA->halfB,inertia_ratio,0.9564995338286776
real,vmf_ward100,tldr17,halfA->halfB,n_iter,25.0
real,vmf_ward100,tldr17,halfA->halfB,n_clusters,100.0
real,vmf_ward100,tldr17,halfB->halfA,yardstick_ari,0.27769417944784863
real,vmf_ward100,tldr17,halfB->halfA,reliability_ari,0.207846140491942
real,vmf_ward100,tldr17,halfB->halfA,inertia_ratio,0.9573768430412297
real,vmf_ward100,tldr17,halfB->halfA,n_iter,22.0
real,vmf_ward100,tldr17,halfB->halfA,n_clusters,100.0
pnull,vmf_ward100,tldr17,halfA->halfB,yardstick_ari,0.007948865493654906
pnull,vmf_ward100,tldr17,halfA->halfB,reliability_ari,0.007520311575417325
pnull,vmf_ward100,tldr17,halfA->halfB,inertia_ratio,0.9636909315418729
pnull,vmf_ward100,tldr17,halfA->halfB,n_iter,32.0
pnull,vmf_ward100,tldr17,halfA->halfB,n_clusters,100.0
pnull,vmf_ward100,tldr17,halfB->halfA,yardstick_ari,0.008572463876189707
pnull,vmf_ward100,tldr17,halfB->halfA,reliability_ari,0.007313662912074142
pnull,vmf_ward100,tldr17,halfB->halfA,inertia_ratio,0.9632353205886958
pnull,vmf_ward100,tldr17,halfB->halfA,n_iter,48.0
pnull,vmf_ward100,tldr17,halfB->halfA,n_clusters,100.0
