model,domain,task,bos,n_total,n_aligned,clean_accuracy,corrupted_accuracy,both_correct_accuracy,n_both_correct,clean_baseline,corrupted_baseline,passes,base,is_bos,m
Qwen/Qwen3.5-0.8B,phys,phys_prost,0,1200,1200,0.7366666666666667,0.7491666666666666,0.49,588,1.2852480486098703,-1.2249566677412915,0,phys_prost,False,q35-0.8
Qwen/Qwen3.5-0.8B,phys,physics_buoyancy,0,1000,1000,0.556,0.538,0.185,185,0.961497942177025,-0.968148980269561,0,physics_buoyancy,False,q35-0.8
Qwen/Qwen3.5-0.8B,phys,physics_brightness,0,1000,913,0.5169769989047097,0.5147864184008762,0.0317634173055859,29,0.9042123843883646,-0.75335693359375,0,physics_brightness,False,q35-0.8
Qwen/Qwen3.5-0.8B,phys,physics_elasticity,0,1000,820,0.5475609756097561,0.5682926829268292,0.1170731707317073,96,1.1678467964132626,-1.1282235607504845,0,physics_elasticity,False,q35-0.8
Qwen/Qwen3.5-0.8B,phys,physics_solubility,0,1000,964,0.6815352697095436,0.6576763485477178,0.3454356846473029,333,1.7891052402891554,-1.85076691993364,0,physics_solubility,False,q35-0.8
Qwen/Qwen3.5-0.8B,phys,physics_speed,0,1000,859,0.5785797438882422,0.5750873108265425,0.2211874272409778,190,0.8164904208559739,-0.7513919322114242,0,physics_speed,False,q35-0.8
Qwen/Qwen3.5-0.8B,phys,physics_stability,0,1000,987,0.6484295845997974,0.662613981762918,0.3475177304964539,343,0.5661416536865012,-0.5737528522925196,0,physics_stability,False,q35-0.8
Qwen/Qwen3.5-0.8B,phys,physics_temperature,0,1000,837,0.5639187574671446,0.5758661887694145,0.1768219832735962,148,1.235454183978003,-1.215002102626337,0,physics_temperature,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,agent,0,945,945,0.6010582010582011,0.5481481481481482,0.2486772486772486,235,0.8148422991975824,-0.769357226757293,0,agent,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,social_interactions,0,204,204,0.7549019607843137,0.696078431372549,0.4558823529411764,93,2.316170548879972,-1.874556085114838,0,social_interactions,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,social_relations,0,288,288,0.4861111111111111,0.6979166666666666,0.2708333333333333,78,1.0473434497148564,-1.284543826029851,0,social_relations,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,desires_goals,0,1080,1080,0.8814814814814815,0.7490740740740741,0.6305555555555555,681,3.211778330557847,-5.671080658614373,1,desires_goals,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,primary_emotions,0,1295,1295,0.8015444015444015,0.8115830115830116,0.6131274131274131,794,2.1556866150959317,-5.127376148022092,1,primary_emotions,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,secondary_emotions,0,1600,1600,0.74375,0.878125,0.621875,995,4.3765790158180735,-4.193101440602211,1,secondary_emotions,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,emotion_fewshot,0,2000,1994,0.753259779338014,0.7607823470411234,0.522567703109328,1042,2.18711176234335,-2.198619961223767,0,emotion_fewshot,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,norm_appropriate,0,2000,2000,0.5085,0.496,0.0125,25,0.8058107376098633,-0.8337058258056641,0,norm_appropriate,False,q35-0.8
Qwen/Qwen3.5-0.8B,ToM,norm_moral,0,2000,2000,0.5085,0.542,0.0625,125,0.556263409614563,-0.5346712703704835,0,norm_moral,False,q35-0.8
Qwen/Qwen3.5-4B,Lan,anaphor_gender_agreement_bos,1,1100,1086,0.992633517495396,1.0,0.992633517495396,1078,3.7296813907506072,-3.715733274153964,1,anaphor_gender_agreement,True,q35-4
Qwen/Qwen3.5-4B,Lan,det_noun_agreement_irregular_bos,1,932,932,0.9141630901287554,0.9120171673819742,0.8261802575107297,770,3.348123629217024,-3.4739947422758326,1,det_noun_agreement_irregular,True,q35-4
Qwen/Qwen3.5-4B,Lan,det_noun_agreement_regular_bos,1,1100,1100,0.921818181818182,0.9254545454545454,0.8490909090909091,934,3.891841956839061,-3.788718585411537,1,det_noun_agreement_regular,True,q35-4
