model,step,domain,key,tree,measure,value
pythia-70m,256,agnews,halfA,real,crisp_median_max_membership,0.54
pythia-70m,256,agnews,halfA,real,crisp_frac_confident,0.5690104166666666
pythia-70m,256,agnews,halfA,real,crisp_network_median,0.5336817901234567
pythia-70m,256,agnews,halfA,real,size_n_networks,100.0
pythia-70m,256,agnews,halfA,real,size_effective_n,92.14670398389336
pythia-70m,256,agnews,halfA,real,size_gini,0.19946777343749988
pythia-70m,256,agnews,halfA,real,size_largest_share,0.044514973958333336
pythia-70m,256,agnews,halfA,real,size_frac_small,0.0
pythia-70m,256,agnews,halfA,real,depth_median_effective_layers,4.792017453223176
pythia-70m,256,agnews,halfA,real,depth_frac_single_layer,0.0
pythia-70m,256,agnews,halfA,real,depth_mean_layer_span,4.02
pythia-70m,1000,agnews,halfA,real,crisp_median_max_membership,0.585
pythia-70m,1000,agnews,halfA,real,crisp_frac_confident,0.629150390625
pythia-70m,1000,agnews,halfA,real,crisp_network_median,0.5636890861432147
pythia-70m,1000,agnews,halfA,real,size_n_networks,100.0
pythia-70m,1000,agnews,halfA,real,size_effective_n,90.98183830045684
pythia-70m,1000,agnews,halfA,real,size_gini,0.20715494791666655
pythia-70m,1000,agnews,halfA,real,size_largest_share,0.0439453125
pythia-70m,1000,agnews,halfA,real,size_frac_small,0.01
pythia-70m,1000,agnews,halfA,real,depth_median_effective_layers,4.181017347945621
pythia-70m,1000,agnews,halfA,real,depth_frac_single_layer,0.01
pythia-70m,1000,agnews,halfA,real,depth_mean_layer_span,3.54
pythia-70m,4000,agnews,halfA,real,crisp_median_max_membership,0.655
pythia-70m,4000,agnews,halfA,real,crisp_frac_confident,0.731689453125
pythia-70m,4000,agnews,halfA,real,crisp_network_median,0.6358327367102201
pythia-70m,4000,agnews,halfA,real,size_n_networks,100.0
pythia-70m,4000,agnews,halfA,real,size_effective_n,89.21328167183384
pythia-70m,4000,agnews,halfA,real,size_gini,0.23458496093749992
pythia-70m,4000,agnews,halfA,real,size_largest_share,0.045003255208333336
pythia-70m,4000,agnews,halfA,real,size_frac_small,0.01
pythia-70m,4000,agnews,halfA,real,depth_median_effective_layers,4.099753865882776
pythia-70m,4000,agnews,halfA,real,depth_frac_single_layer,0.07
pythia-70m,4000,agnews,halfA,real,depth_mean_layer_span,3.37
pythia-70m,16000,agnews,halfA,real,crisp_median_max_membership,0.68
pythia-70m,16000,agnews,halfA,real,crisp_frac_confident,0.729736328125
pythia-70m,16000,agnews,halfA,real,crisp_network_median,0.6370234760051882
pythia-70m,16000,agnews,halfA,real,size_n_networks,100.0
pythia-70m,16000,agnews,halfA,real,size_effective_n,85.59567718476083
pythia-70m,16000,agnews,halfA,real,size_gini,0.275859375
pythia-70m,16000,agnews,halfA,real,size_largest_share,0.046712239583333336
pythia-70m,16000,agnews,halfA,real,size_frac_small,0.01
pythia-70m,16000,agnews,halfA,real,depth_median_effective_layers,4.127488911465926
pythia-70m,16000,agnews,halfA,real,depth_frac_single_layer,0.09
pythia-70m,16000,agnews,halfA,real,depth_mean_layer_span,3.32
pythia-70m,64000,agnews,halfA,real,crisp_median_max_membership,0.7
pythia-70m,64000,agnews,halfA,real,crisp_frac_confident,0.7530110677083334
pythia-70m,64000,agnews,halfA,real,crisp_network_median,0.6527063725747937
pythia-70m,64000,agnews,halfA,real,size_n_networks,100.0
pythia-70m,64000,agnews,halfA,real,size_effective_n,86.48022182035143
pythia-70m,64000,agnews,halfA,real,size_gini,0.26520507812499994
pythia-70m,64000,agnews,halfA,real,size_largest_share,0.054117838541666664
pythia-70m,64000,agnews,halfA,real,size_frac_small,0.0
pythia-70m,64000,agnews,halfA,real,depth_median_effective_layers,3.949504019425356
pythia-70m,64000,agnews,halfA,real,depth_frac_single_layer,0.09
pythia-70m,64000,agnews,halfA,real,depth_mean_layer_span,3.41
pythia-70m,143000,agnews,halfA,real,crisp_median_max_membership,0.66
pythia-70m,143000,agnews,halfA,real,crisp_frac_confident,0.7473958333333334
pythia-70m,143000,agnews,halfA,real,crisp_network_median,0.6389739583333334
pythia-70m,143000,agnews,halfA,real,size_n_networks,100.0
pythia-70m,143000,agnews,halfA,real,size_effective_n,84.61793067743123
pythia-70m,143000,agnews,halfA,real,size_gini,0.2693196614583333
pythia-70m,143000,agnews,halfA,real,size_largest_share,0.06705729166666667
pythia-70m,143000,agnews,halfA,real,size_frac_small,0.0
pythia-70m,143000,agnews,halfA,real,depth_median_effective_layers,4.088611433113753
pythia-70m,143000,agnews,halfA,real,depth_frac_single_layer,0.1
pythia-70m,143000,agnews,halfA,real,depth_mean_layer_span,3.32
pythia-70m,0,tldr17,halfA,real,crisp_median_max_membership,0.645
pythia-70m,0,tldr17,halfA,real,crisp_frac_confident,0.712158203125
pythia-70m,0,tldr17,halfA,real,crisp_network_median,0.6360021617557216
pythia-70m,0,tldr17,halfA,real,size_n_networks,100.0
pythia-70m,0,tldr17,halfA,real,size_effective_n,90.61330131006589
pythia-70m,0,tldr17,halfA,real,size_gini,0.22632486979166666
pythia-70m,0,tldr17,halfA,real,size_largest_share,0.040445963541666664
pythia-70m,0,tldr17,halfA,real,size_frac_small,0.01
pythia-70m,0,tldr17,halfA,real,depth_median_effective_layers,5.856714043964526
pythia-70m,0,tldr17,halfA,real,depth_frac_single_layer,0.0
pythia-70m,0,tldr17,halfA,real,depth_mean_layer_span,5.74
pythia-70m,1,tldr17,halfA,real,crisp_median_max_membership,0.645
pythia-70m,1,tldr17,halfA,real,crisp_frac_confident,0.712158203125
pythia-70m,1,tldr17,halfA,real,crisp_network_median,0.6360021617557216
pythia-70m,1,tldr17,halfA,real,size_n_networks,100.0
pythia-70m,1,tldr17,halfA,real,size_effective_n,90.61330131006589
pythia-70m,1,tldr17,halfA,real,size_gini,0.22632486979166666
pythia-70m,1,tldr17,halfA,real,size_largest_share,0.040445963541666664
pythia-70m,1,tldr17,halfA,real,size_frac_small,0.01
pythia-70m,1,tldr17,halfA,real,depth_median_effective_layers,5.856714043964526
pythia-70m,1,tldr17,halfA,real,depth_frac_single_layer,0.0
pythia-70m,1,tldr17,halfA,real,depth_mean_layer_span,5.74
pythia-70m,4,tldr17,halfA,real,crisp_median_max_membership,0.64
pythia-70m,4,tldr17,halfA,real,crisp_frac_confident,0.7042643229166666
pythia-70m,4,tldr17,halfA,real,crisp_network_median,0.6391929824561403
pythia-70m,4,tldr17,halfA,real,size_n_networks,100.0
