step,domain,key,tree,measure,value
1000,bookcorpus,halfB,null,selectivity_coherence_median,0.20869142115453965
1000,bookcorpus,halfB,null,selectivity_frac_coherent,0.0
1000,bookcorpus,halfB,null,selectivity_prefers_whitespace,0.0
1000,bookcorpus,halfB,null,selectivity_prefers_punctuation,0.03
1000,bookcorpus,halfB,null,selectivity_prefers_digit,0.07
1000,bookcorpus,halfB,null,selectivity_prefers_function_word,0.06
1000,bookcorpus,halfB,null,selectivity_prefers_content_word,0.81
1000,bookcorpus,halfB,null,selectivity_prefers_continuation,0.03
1000,bookcorpus,halfB,null,selectivity_prefers_other,0.0
1000,tldr17,halfA,real,selectivity_coherence_median,0.4991238003207822
1000,tldr17,halfA,real,selectivity_frac_coherent,0.5
1000,tldr17,halfA,real,selectivity_prefers_whitespace,0.08
1000,tldr17,halfA,real,selectivity_prefers_punctuation,0.11
1000,tldr17,halfA,real,selectivity_prefers_digit,0.01
1000,tldr17,halfA,real,selectivity_prefers_function_word,0.19
1000,tldr17,halfA,real,selectivity_prefers_content_word,0.32
1000,tldr17,halfA,real,selectivity_prefers_continuation,0.15
1000,tldr17,halfA,real,selectivity_prefers_other,0.14
1000,tldr17,halfA,null,selectivity_coherence_median,0.17033250949060827
1000,tldr17,halfA,null,selectivity_frac_coherent,0.0
1000,tldr17,halfA,null,selectivity_prefers_whitespace,0.08
1000,tldr17,halfA,null,selectivity_prefers_punctuation,0.01
1000,tldr17,halfA,null,selectivity_prefers_digit,0.06
1000,tldr17,halfA,null,selectivity_prefers_function_word,0.11
1000,tldr17,halfA,null,selectivity_prefers_content_word,0.52
1000,tldr17,halfA,null,selectivity_prefers_continuation,0.17
1000,tldr17,halfA,null,selectivity_prefers_other,0.05
1000,tldr17,halfB,real,selectivity_coherence_median,0.4987257613175265
1000,tldr17,halfB,real,selectivity_frac_coherent,0.49
1000,tldr17,halfB,real,selectivity_prefers_whitespace,0.05
1000,tldr17,halfB,real,selectivity_prefers_punctuation,0.13
1000,tldr17,halfB,real,selectivity_prefers_digit,0.02
1000,tldr17,halfB,real,selectivity_prefers_function_word,0.18
1000,tldr17,halfB,real,selectivity_prefers_content_word,0.33
