model,domain,key,tree,network,step,best_jaccard,birth_step
pythia-70m,wikitext,halfA,real,20,143000,1.0,143000
pythia-70m,wikitext,halfA,real,21,0,0.02178649237472767,143000
pythia-70m,wikitext,halfA,real,21,1,0.02178649237472767,143000
pythia-70m,wikitext,halfA,real,21,4,0.024175824175824177,143000
pythia-70m,wikitext,halfA,real,21,16,0.01858736059479554,143000
pythia-70m,wikitext,halfA,real,21,64,0.02464788732394366,143000
pythia-70m,wikitext,halfA,real,21,256,0.024291497975708502,143000
pythia-70m,wikitext,halfA,real,21,1000,0.02903225806451613,143000
pythia-70m,wikitext,halfA,real,21,4000,0.030726256983240222,143000
pythia-70m,wikitext,halfA,real,21,16000,0.06015037593984962,143000
pythia-70m,wikitext,halfA,real,21,64000,0.13167259786476868,143000
pythia-70m,wikitext,halfA,real,21,143000,1.0,143000
pythia-70m,wikitext,halfA,real,22,0,0.017921146953405017,143000
pythia-70m,wikitext,halfA,real,22,1,0.017921146953405017,143000
pythia-70m,wikitext,halfA,real,22,4,0.018315018315018316,143000
pythia-70m,wikitext,halfA,real,22,16,0.020289855072463767,143000
pythia-70m,wikitext,halfA,real,22,64,0.03201970443349754,143000
pythia-70m,wikitext,halfA,real,22,256,0.05864197530864197,143000
pythia-70m,wikitext,halfA,real,22,1000,0.05263157894736842,143000
pythia-70m,wikitext,halfA,real,22,4000,0.06741573033707865,143000
pythia-70m,wikitext,halfA,real,22,16000,0.19480519480519481,143000
pythia-70m,wikitext,halfA,real,22,64000,0.4020100502512563,143000
pythia-70m,wikitext,halfA,real,22,143000,1.0,143000
pythia-70m,wikitext,halfA,real,23,0,0.015706806282722512,143000
pythia-70m,wikitext,halfA,real,23,1,0.015706806282722512,143000
pythia-70m,wikitext,halfA,real,23,4,0.017699115044247787,143000
pythia-70m,wikitext,halfA,real,23,16,0.017421602787456445,143000
pythia-70m,wikitext,halfA,real,23,64,0.02806122448979592,143000
pythia-70m,wikitext,halfA,real,23,256,0.045180722891566265,143000
pythia-70m,wikitext,halfA,real,23,1000,0.044897959183673466,143000
pythia-70m,wikitext,halfA,real,23,4000,0.13306451612903225,143000
pythia-70m,wikitext,halfA,real,23,16000,0.18181818181818182,143000
